movieId,title,clean_title
3000,Princess Mononoke (Mononoke-hime) (1997),Princess Mononoke
5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Spirited Away
5690,Grave of the Fireflies (Hotaru no haka) (1988),Grave of the Fireflies
5971,My Neighbor Totoro (Tonari no Totoro) (1988),My Neighbor Totoro
6350,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),Laputa: Castle in the Sky
7099,Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984),Nausicaä of the Valley of the Wind
26662,Kiki's Delivery Service (Majo no takkyûbin) (1989),Kiki's Delivery Service
26743,Only Yesterday (Omohide poro poro) (1991),Only Yesterday
26776,Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),Porco Rosso
26903,Whisper of the Heart (Mimi wo sumaseba) (1995),Whisper of the Heart
31658,Howl's Moving Castle (Hauru no ugoku shiro) (2004),Howl's Moving Castle
32456,"Pom Poko (a.k.a. Raccoon War, The) (Heisei tanuki gassen pompoko) (1994)",Pom Poko
65261,Ponyo (Gake no ue no Ponyo) (2008),Ponyo
83132,"Secret World of Arrietty, The (Kari-gurashi no Arietti) (2010)","Secret World of Arrietty, The"
98604,From Up on Poppy Hill (Kokuriko-zaka kara) (2011),From Up on Poppy Hill
104283,"Wind Rises, The (Kaze tachinu) (2013)","Wind Rises, The"
114554,"Tale of Princess Kaguya, The (Kaguyahime no monogatari) (2013)","Tale of Princess Kaguya, The"
