Name,The Tale of The Princess Kaguya,The Wind Rises,From Up on Poppy Hill,The Secret World of Arrietty,Ponyo,Only Yesterday,Spirited Away,Whisper of the Heart,Grave of the Fireflies,My Neighbor Totoro,Princess Mononoke,Howl's Moving Castle,Castle in the Sky,Kiki's Delivery Service,Pom Poko,Porco Rosso,Nausicaä of the Valley of the Wind
The Tale of The Princess Kaguya,1.0000000000000002,0.6666666666666669,0.816496580927726,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.3333333333333334,0.6666666666666669
The Wind Rises,0.6666666666666669,1.0000000000000002,0.816496580927726,0.3333333333333334,0.3333333333333334,1.0000000000000002,0.3333333333333334,0.6666666666666669,0.6666666666666669,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334
From Up on Poppy Hill,0.816496580927726,0.816496580927726,0.9999999999999998,0.408248290463863,0.408248290463863,0.816496580927726,0.408248290463863,0.816496580927726,0.816496580927726,0.408248290463863,0.408248290463863,0.408248290463863,0.408248290463863,0.408248290463863,0.408248290463863,0.408248290463863,0.408248290463863
The Secret World of Arrietty,0.6666666666666669,0.3333333333333334,0.408248290463863,1.0000000000000002,1.0000000000000002,0.3333333333333334,1.0000000000000002,0.6666666666666669,0.3333333333333334,1.0000000000000002,0.6666666666666669,0.6666666666666669,0.6666666666666669,1.0000000000000002,0.6666666666666669,0.6666666666666669,0.6666666666666669
Ponyo,0.6666666666666669,0.3333333333333334,0.408248290463863,1.0000000000000002,1.0000000000000002,0.3333333333333334,1.0000000000000002,0.6666666666666669,0.3333333333333334,1.0000000000000002,0.6666666666666669,0.6666666666666669,0.6666666666666669,1.0000000000000002,0.6666666666666669,0.6666666666666669,0.6666666666666669
Only Yesterday,0.6666666666666669,1.0000000000000002,0.816496580927726,0.3333333333333334,0.3333333333333334,1.0000000000000002,0.3333333333333334,0.6666666666666669,0.6666666666666669,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334
Spirited Away,0.6666666666666669,0.3333333333333334,0.408248290463863,1.0000000000000002,1.0000000000000002,0.3333333333333334,1.0000000000000002,0.6666666666666669,0.3333333333333334,1.0000000000000002,0.6666666666666669,0.6666666666666669,0.6666666666666669,1.0000000000000002,0.6666666666666669,0.6666666666666669,0.6666666666666669
Whisper of the Heart,0.6666666666666669,0.6666666666666669,0.816496580927726,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.6666666666666669,1.0000000000000002,0.6666666666666669,0.6666666666666669,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.6666666666666669,0.3333333333333334,0.6666666666666669,0.3333333333333334
Grave of the Fireflies,0.6666666666666669,0.6666666666666669,0.816496580927726,0.3333333333333334,0.3333333333333334,0.6666666666666669,0.3333333333333334,0.6666666666666669,1.0000000000000002,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334
My Neighbor Totoro,0.6666666666666669,0.3333333333333334,0.408248290463863,1.0000000000000002,1.0000000000000002,0.3333333333333334,1.0000000000000002,0.6666666666666669,0.3333333333333334,1.0000000000000002,0.6666666666666669,0.6666666666666669,0.6666666666666669,1.0000000000000002,0.6666666666666669,0.6666666666666669,0.6666666666666669
Princess Mononoke,0.6666666666666669,0.3333333333333334,0.408248290463863,0.6666666666666669,0.6666666666666669,0.3333333333333334,0.6666666666666669,0.3333333333333334,0.3333333333333334,0.6666666666666669,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.6666666666666669,1.0000000000000002,0.3333333333333334,1.0000000000000002
Howl's Moving Castle,0.6666666666666669,0.3333333333333334,0.408248290463863,0.6666666666666669,0.6666666666666669,0.3333333333333334,0.6666666666666669,0.3333333333333334,0.3333333333333334,0.6666666666666669,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.6666666666666669,1.0000000000000002,0.3333333333333334,1.0000000000000002
Castle in the Sky,0.6666666666666669,0.3333333333333334,0.408248290463863,0.6666666666666669,0.6666666666666669,0.3333333333333334,0.6666666666666669,0.3333333333333334,0.3333333333333334,0.6666666666666669,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.6666666666666669,1.0000000000000002,0.3333333333333334,1.0000000000000002
Kiki's Delivery Service,0.6666666666666669,0.3333333333333334,0.408248290463863,1.0000000000000002,1.0000000000000002,0.3333333333333334,1.0000000000000002,0.6666666666666669,0.3333333333333334,1.0000000000000002,0.6666666666666669,0.6666666666666669,0.6666666666666669,1.0000000000000002,0.6666666666666669,0.6666666666666669,0.6666666666666669
Pom Poko,0.6666666666666669,0.3333333333333334,0.408248290463863,0.6666666666666669,0.6666666666666669,0.3333333333333334,0.6666666666666669,0.3333333333333334,0.3333333333333334,0.6666666666666669,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.6666666666666669,1.0000000000000002,0.3333333333333334,1.0000000000000002
Porco Rosso,0.3333333333333334,0.3333333333333334,0.408248290463863,0.6666666666666669,0.6666666666666669,0.3333333333333334,0.6666666666666669,0.6666666666666669,0.3333333333333334,0.6666666666666669,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.6666666666666669,0.3333333333333334,1.0000000000000002,0.3333333333333334
Nausicaä of the Valley of the Wind,0.6666666666666669,0.3333333333333334,0.408248290463863,0.6666666666666669,0.6666666666666669,0.3333333333333334,0.6666666666666669,0.3333333333333334,0.3333333333333334,0.6666666666666669,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.6666666666666669,1.0000000000000002,0.3333333333333334,1.0000000000000002
