userId,movieId,rating,name
7,5618,5.0,Spirited Away
15,5618,3.0,Spirited Away
15,5971,2.0,My Neighbor Totoro
16,3000,4.0,Princess Mononoke
16,5618,4.5,Spirited Away
16,5971,4.0,My Neighbor Totoro
16,6350,3.5,Laputa: Castle in the Sky
16,7099,3.5,Nausicaä of the Valley of the Wind
17,5618,5.0,Spirited Away
17,5971,4.0,My Neighbor Totoro
17,6350,5.0,Laputa: Castle in the Sky
17,7099,5.0,Nausicaä of the Valley of the Wind
17,31658,4.5,Howl's Moving Castle
20,5618,5.0,Spirited Away
21,3000,0.5,Princess Mononoke
22,31658,2.5,Howl's Moving Castle
23,3000,3.5,Princess Mononoke
23,5618,4.0,Spirited Away
23,5971,4.0,My Neighbor Totoro
23,7099,4.0,Nausicaä of the Valley of the Wind
24,6350,4.5,Laputa: Castle in the Sky
34,3000,4.0,Princess Mononoke
39,3000,5.0,Princess Mononoke
41,5618,3.5,Spirited Away
50,3000,3.5,Princess Mononoke
50,5618,4.0,Spirited Away
50,104283,3.5,The Wind Rises
62,3000,4.0,Princess Mononoke
62,5618,5.0,Spirited Away
62,31658,3.5,Howl's Moving Castle
63,3000,3.5,Princess Mononoke
63,5618,4.0,Spirited Away
63,6350,4.5,Laputa: Castle in the Sky
63,31658,4.0,Howl's Moving Castle
64,5690,5.0,Grave of the Fireflies
66,5618,4.5,Spirited Away
68,3000,3.5,Princess Mononoke
68,5618,2.5,Spirited Away
83,7099,3.0,Nausicaä of the Valley of the Wind
87,5618,5.0,Spirited Away
87,5971,5.0,My Neighbor Totoro
91,3000,4.0,Princess Mononoke
91,5618,4.0,Spirited Away
95,5618,4.5,Spirited Away
98,5618,4.0,Spirited Away
103,5618,4.0,Spirited Away
103,31658,4.5,Howl's Moving Castle
104,5618,4.0,Spirited Away
105,5618,4.0,Spirited Away
105,5690,5.0,Grave of the Fireflies
105,5971,4.0,My Neighbor Totoro
105,6350,4.0,Laputa: Castle in the Sky
105,7099,4.0,Nausicaä of the Valley of the Wind
105,26662,4.0,Kiki's Delivery Service
105,26903,4.0,Whisper of the Heart
105,31658,4.0,Howl's Moving Castle
105,98604,4.5,From Up on Poppy Hill
122,31658,5.0,Howl's Moving Castle
129,3000,4.5,Princess Mononoke
129,5618,4.5,Spirited Away
129,7099,4.5,Nausicaä of the Valley of the Wind
129,31658,4.0,Howl's Moving Castle
132,5618,3.5,Spirited Away
132,5971,3.5,My Neighbor Totoro
132,6350,2.0,Laputa: Castle in the Sky
132,26776,2.0,Porco Rosso
132,31658,4.0,Howl's Moving Castle
140,5971,1.0,My Neighbor Totoro
141,5618,4.5,Spirited Away
144,5618,4.0,Spirited Away
148,5618,3.0,Spirited Away
148,31658,4.0,Howl's Moving Castle
166,3000,5.0,Princess Mononoke
166,5618,4.5,Spirited Away
166,5690,5.0,Grave of the Fireflies
166,26662,5.0,Kiki's Delivery Service
177,5971,4.0,My Neighbor Totoro
177,65261,4.0,Ponyo
177,83132,2.5,The Secret World of Arrietty
182,3000,5.0,Princess Mononoke
182,5618,4.5,Spirited Away
182,5690,4.5,Grave of the Fireflies
187,3000,4.0,Princess Mononoke
187,5618,5.0,Spirited Away
187,5971,3.5,My Neighbor Totoro
187,6350,5.0,Laputa: Castle in the Sky
187,7099,5.0,Nausicaä of the Valley of the Wind
187,26662,4.5,Kiki's Delivery Service
187,26776,4.5,Porco Rosso
187,31658,4.0,Howl's Moving Castle
190,5618,4.0,Spirited Away
193,5618,5.0,Spirited Away
202,3000,4.0,Princess Mononoke
212,3000,4.0,Princess Mononoke
212,5618,4.0,Spirited Away
212,5690,4.0,Grave of the Fireflies
212,5971,4.0,My Neighbor Totoro
212,6350,4.0,Laputa: Castle in the Sky
212,26662,4.0,Kiki's Delivery Service
212,31658,4.0,Howl's Moving Castle
212,65261,3.5,Ponyo
212,83132,4.0,The Secret World of Arrietty
219,3000,5.0,Princess Mononoke
221,31658,4.5,Howl's Moving Castle
246,5618,5.0,Spirited Away
246,5971,5.0,My Neighbor Totoro
